hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
8.0,8.8,72.1,45,30.2
1.3,8.6,60.7,55,25.0
4.0,8.2,73.7,86,35.8
3.5,4.8,95.1,66,34.0
9.1,6.4,89.8,71,40.3
8.4,5.1,58.5,75,35.7
10.8,6.0,54.2,88,37.9
2.0,4.3,75.8,55,18.3
5.6,5.9,81.6,84,34.7
1.3,8.9,66.8,70,24.7
3.4,5.3,90.9,81,29.3
6.6,7.9,87.6,85,35.1
1.3,6.3,83.6,71,31.2
3.2,6.1,61.2,68,30.2
8.1,8.8,60.0,90,41.1
7.0,9.0,51.2,41,34.1
3.4,6.8,62.2,45,28.9
7.5,7.6,73.8,58,36.3
9.9,4.8,92.5,54,35.6
1.1,5.5,53.6,65,17.1
9.9,8.8,70.7,84,46.0
8.7,6.9,81.5,55,36.1
4.7,6.7,59.7,59,29.6
2.7,7.7,84.8,82,35.9
11.5,4.3,74.7,77,39.2
4.7,6.9,62.2,63,30.0
2.0,6.5,82.8,70,29.0
2.1,8.3,50.3,75,26.5
10.3,4.8,87.5,73,37.2
7.6,8.8,88.5,62,36.2
9.9,4.4,55.3,67,34.5
9.0,4.9,71.3,87,41.6
6.9,7.0,58.8,75,38.1
11.7,7.4,97.9,61,42.7
5.2,5.2,75.9,62,32.0
7.1,4.6,52.5,84,32.0
10.1,8.5,62.5,69,44.7
7.8,5.2,92.4,57,38.3
10.5,7.0,72.8,59,39.8
7.4,7.1,90.1,56,35.0
8.8,6.1,83.4,54,34.2
1.5,6.9,99.4,47,23.1
3.5,6.6,79.8,86,37.2
4.2,8.7,97.5,52,30.3
1.9,5.0,94.6,60,26.1
3.6,7.6,80.6,47,31.8
2.1,5.2,86.0,87,31.6
4.1,6.0,75.2,74,31.1
8.0,7.4,91.5,88,41.2
5.0,5.5,77.4,84,30.6
5.1,5.6,94.9,51,28.8
3.3,7.8,87.2,52,30.7
3.9,4.4,73.7,53,26.9
11.3,6.3,63.0,87,46.4
8.1,9.0,62.4,70,34.4
7.7,9.0,81.9,57,37.0
2.9,4.4,88.3,86,35.2
9.0,5.1,76.1,77,38.2
2.8,5.3,81.3,88,33.0
5.2,8.7,63.7,73,29.2
11.9,8.4,53.9,78,48.6
8.0,8.4,64.3,58,36.1
7.1,5.8,63.6,46,27.1
8.5,4.8,66.0,93,36.1
10.3,8.2,77.0,52,39.5
9.5,7.5,56.9,58,36.7
3.5,7.1,61.6,54,21.7
1.4,8.9,84.7,63,32.2
4.5,7.3,85.3,51,33.5
3.9,4.0,53.2,59,23.9
3.3,8.1,70.4,40,20.8
11.4,5.5,77.1,85,47.9
10.6,7.3,70.8,74,41.9
4.5,8.7,60.3,48,29.5
8.2,4.7,71.0,57,33.5
5.4,4.6,95.2,42,26.3
11.1,4.5,79.2,43,39.9
6.0,6.8,84.8,75,40.3
3.9,5.4,92.8,58,26.5
3.7,7.0,88.3,84,34.2
7.2,7.6,69.0,48,30.8
3.9,5.0,50.3,80,32.4
7.4,7.2,67.6,95,39.8
10.9,5.3,87.7,88,48.9
5.4,6.4,92.7,71,38.0
3.4,8.5,97.7,46,26.5
12.0,8.2,71.0,95,51.3
6.6,4.5,87.4,40,28.6
2.0,6.1,77.3,76,32.1
1.5,5.4,80.2,58,23.9
2.2,4.0,61.0,70,27.3
7.9,7.9,61.0,70,34.0
9.7,7.2,71.8,68,37.5
5.6,5.3,51.5,61,29.1
1.7,7.7,66.8,51,28.1
5.2,6.8,84.0,43,28.7
12.0,6.1,70.2,56,36.9
6.8,4.0,58.3,95,36.0
11.7,4.4,73.4,70,39.9
10.5,8.4,56.4,47,37.1
1.1,8.5,81.1,92,31.4
8.9,6.7,51.3,44,31.3
8.5,8.2,69.7,65,35.7
6.9,6.9,78.2,71,32.6
3.9,4.7,51.4,44,24.1
8.1,4.6,82.1,76,38.2
2.2,5.5,56.8,80,23.7
5.8,8.5,73.1,83,39.2
6.0,8.0,52.5,43,23.2
11.5,8.3,69.0,49,42.2
10.6,8.5,60.6,49,39.6
3.9,5.1,66.3,91,34.8
6.5,5.2,88.1,76,34.6
3.0,4.5,69.0,59,26.4
11.0,7.9,87.6,45,43.1
10.6,8.4,91.6,55,46.4
4.3,6.0,62.6,47,25.2
8.0,7.1,54.1,75,31.3
7.7,4.8,51.0,88,35.8
2.7,8.6,77.0,66,29.8
9.4,8.3,100.0,78,47.9
6.9,8.9,67.5,78,40.9
9.6,8.1,82.5,90,44.1
6.8,8.4,89.1,79,39.3
